movie,release year,id,genre,director,box_office,runtime(in min),IMDb rating,emotions,emopair,most occuring 5 pairs,top_emotions
Parasite,2019,dfu11,"Drama, Thriller",Bong Joon-ho,262.7,132,8.5,"['annoyance', 'neutral', 'anger', 'gratitude', 'gratitude', 'admiration', 'neutral', 'gratitude', 'curiosity', 'gratitude', 'fear', 'neutral', 'gratitude', 'annoyance', 'annoyance', 'surprise', 'neutral', 'neutral', 'sadness', 'caring', 'admiration', 'gratitude', 'gratitude', 'annoyance', 'admiration', 'admiration', 'anger', 'anger', 'gratitude', 'surprise', 'embarrassment', 'anger', 'anger', 'neutral', 'love', 'grief', 'neutral', 'approval', 'caring', 'caring', 'annoyance', 'admiration', 'gratitude', 'embarrassment', 'anger', 'neutral', 'amusement', 'gratitude', 'annoyance']","{('annoyance', 'neutral'): 1, ('neutral', 'anger'): 1, ('anger', 'gratitude'): 2, ('gratitude', 'gratitude'): 2, ('gratitude', 'admiration'): 1, ('admiration', 'neutral'): 1, ('neutral', 'gratitude'): 2, ('gratitude', 'curiosity'): 1, ('curiosity', 'gratitude'): 1, ('gratitude', 'fear'): 1, ('fear', 'neutral'): 1, ('gratitude', 'annoyance'): 3, ('annoyance', 'annoyance'): 1, ('annoyance', 'surprise'): 1, ('surprise', 'neutral'): 1, ('neutral', 'neutral'): 1, ('neutral', 'sadness'): 1, ('sadness', 'caring'): 1, ('caring', 'admiration'): 1, ('admiration', 'gratitude'): 2, ('annoyance', 'admiration'): 2, ('admiration', 'admiration'): 1, ('admiration', 'anger'): 1, ('anger', 'anger'): 2, ('gratitude', 'surprise'): 1, ('surprise', 'embarrassment'): 1, ('embarrassment', 'anger'): 2, ('anger', 'neutral'): 2, ('neutral', 'love'): 1, ('love', 'grief'): 1, ('grief', 'neutral'): 1, ('neutral', 'approval'): 1, ('approval', 'caring'): 1, ('caring', 'caring'): 1, ('caring', 'annoyance'): 1, ('gratitude', 'embarrassment'): 1, ('neutral', 'amusement'): 1, ('amusement', 'gratitude'): 1}","[(('gratitude', 'annoyance'), 3), (('anger', 'gratitude'), 2), (('gratitude', 'gratitude'), 2), (('neutral', 'gratitude'), 2), (('admiration', 'gratitude'), 2)]","['gratitude', 'neutral', 'annoyance', 'anger', 'admiration', 'caring', 'surprise', 'embarrassment']"
Pulp Fiction,1994,dfu12,"Crime, Drama",Quentin Tarantino,213.9,154,8.9,"['annoyance', 'anger', 'gratitude', 'neutral', 'neutral', 'anger', 'neutral', 'annoyance', 'anger', 'anger', 'anger', 'approval', 'annoyance', 'gratitude', 'curiosity', 'amusement', 'admiration', 'neutral', 'neutral', 'love', 'anger', 'anger', 'anger', 'fear', 'optimism', 'sadness', 'anger', 'gratitude', 'annoyance', 'sadness', 'remorse', 'annoyance', 'anger', 'anger', 'anger', 'anger', 'fear', 'anger', 'anger', 'anger', 'anger', 'anger', 'anger', 'neutral', 'annoyance', 'annoyance', 'anger', 'amusement', 'annoyance', 'anger', 'anger', 'anger', 'anger', 'fear', 'anger', 'annoyance']","{('annoyance', 'anger'): 5, ('anger', 'gratitude'): 2, ('gratitude', 'neutral'): 1, ('neutral', 'neutral'): 2, ('neutral', 'anger'): 1, ('anger', 'neutral'): 2, ('neutral', 'annoyance'): 2, ('anger', 'anger'): 15, ('anger', 'approval'): 1, ('approval', 'annoyance'): 1, ('annoyance', 'gratitude'): 1, ('gratitude', 'curiosity'): 1, ('curiosity', 'amusement'): 1, ('amusement', 'admiration'): 1, ('admiration', 'neutral'): 1, ('neutral', 'love'): 1, ('love', 'anger'): 1, ('anger', 'fear'): 3, ('fear', 'optimism'): 1, ('optimism', 'sadness'): 1, ('sadness', 'anger'): 1, ('gratitude', 'annoyance'): 1, ('annoyance', 'sadness'): 1, ('sadness', 'remorse'): 1, ('remorse', 'annoyance'): 1, ('fear', 'anger'): 2, ('annoyance', 'annoyance'): 1, ('anger', 'amusement'): 1, ('amusement', 'annoyance'): 1, ('anger', 'annoyance'): 1}","[(('anger', 'anger'), 15), (('annoyance', 'anger'), 5), (('anger', 'fear'), 3), (('anger', 'gratitude'), 2), (('neutral', 'neutral'), 2)]","['anger', 'annoyance', 'neutral', 'gratitude', 'fear', 'amusement', 'sadness', 'approval']"
Saving Private Ryan,1998,dfu13,"Drama, War",Steven Spielberg,482.3,170,8.6,"['neutral', 'neutral', 'anger', 'anger', 'sadness', 'grief', 'sadness', 'gratitude', 'neutral', 'neutral', 'gratitude', 'admiration', 'grief', 'neutral', 'neutral', 'caring', 'gratitude', 'sadness', 'neutral', 'neutral', 'neutral', 'amusement', 'caring', 'neutral', 'neutral', 'annoyance', 'gratitude', 'gratitude', 'neutral', 'neutral', 'neutral', 'annoyance', 'annoyance', 'neutral', 'sadness', 'fear', 'anger', 'realization', 'disapproval', 'neutral', 'sadness', 'neutral', 'neutral', 'anger', 'neutral', 'anger', 'caring', 'optimism']","{('neutral', 'neutral'): 9, ('neutral', 'anger'): 3, ('anger', 'anger'): 1, ('anger', 'sadness'): 1, ('sadness', 'grief'): 1, ('grief', 'sadness'): 1, ('sadness', 'gratitude'): 1, ('gratitude', 'neutral'): 2, ('neutral', 'gratitude'): 1, ('gratitude', 'admiration'): 1, ('admiration', 'grief'): 1, ('grief', 'neutral'): 1, ('neutral', 'caring'): 1, ('caring', 'gratitude'): 1, ('gratitude', 'sadness'): 1, ('sadness', 'neutral'): 2, ('neutral', 'amusement'): 1, ('amusement', 'caring'): 1, ('caring', 'neutral'): 1, ('neutral', 'annoyance'): 2, ('annoyance', 'gratitude'): 1, ('gratitude', 'gratitude'): 1, ('annoyance', 'annoyance'): 1, ('annoyance', 'neutral'): 1, ('neutral', 'sadness'): 2, ('sadness', 'fear'): 1, ('fear', 'anger'): 1, ('anger', 'realization'): 1, ('realization', 'disapproval'): 1, ('disapproval', 'neutral'): 1, ('anger', 'neutral'): 1, ('anger', 'caring'): 1, ('caring', 'optimism'): 1}","[(('neutral', 'neutral'), 9), (('neutral', 'anger'), 3), (('gratitude', 'neutral'), 2), (('sadness', 'neutral'), 2), (('neutral', 'annoyance'), 2)]","['neutral', 'anger', 'sadness', 'gratitude', 'caring', 'annoyance', 'grief', 'admiration']"
Schindlers List,1993,dfu14,"Biography, Drama, History",Steven Spielberg,322.2,195,9.0,"['love', 'caring', 'gratitude', 'amusement', 'admiration', 'admiration', 'approval', 'annoyance', 'neutral', 'neutral', 'neutral', 'neutral', 'gratitude', 'caring', 'sadness', 'admiration', 'caring', 'neutral', 'gratitude', 'remorse', 'joy', 'anger', 'neutral', 'neutral', 'anger', 'caring', 'neutral', 'anger', 'gratitude', 'gratitude', 'annoyance', 'neutral', 'confusion', 'admiration', 'sadness', 'admiration', 'neutral', 'approval', 'gratitude', 'neutral', 'neutral', 'approval', 'gratitude', 'neutral', 'neutral', 'gratitude', 'remorse', 'neutral', 'anger', 'confusion', 'approval', 'gratitude', 'desire', 'neutral', 'disapproval', 'neutral', 'neutral', 'curiosity', 'neutral', 'admiration', 'curiosity', 'gratitude', 'gratitude', 'neutral', 'sadness', 'neutral']","{('love', 'caring'): 1, ('caring', 'gratitude'): 1, ('gratitude', 'amusement'): 1, ('amusement', 'admiration'): 1, ('admiration', 'admiration'): 1, ('admiration', 'approval'): 1, ('approval', 'annoyance'): 1, ('annoyance', 'neutral'): 2, ('neutral', 'neutral'): 7, ('neutral', 'gratitude'): 3, ('gratitude', 'caring'): 1, ('caring', 'sadness'): 1, ('sadness', 'admiration'): 2, ('admiration', 'caring'): 1, ('caring', 'neutral'): 2, ('gratitude', 'remorse'): 2, ('remorse', 'joy'): 1, ('joy', 'anger'): 1, ('anger', 'neutral'): 1, ('neutral', 'anger'): 3, ('anger', 'caring'): 1, ('anger', 'gratitude'): 1, ('gratitude', 'gratitude'): 2, ('gratitude', 'annoyance'): 1, ('neutral', 'confusion'): 1, ('confusion', 'admiration'): 1, ('admiration', 'sadness'): 1, ('admiration', 'neutral'): 1, ('neutral', 'approval'): 2, ('approval', 'gratitude'): 3, ('gratitude', 'neutral'): 3, ('remorse', 'neutral'): 1, ('anger', 'confusion'): 1, ('confusion', 'approval'): 1, ('gratitude', 'desire'): 1, ('desire', 'neutral'): 1, ('neutral', 'disapproval'): 1, ('disapproval', 'neutral'): 1, ('neutral', 'curiosity'): 1, ('curiosity', 'neutral'): 1, ('neutral', 'admiration'): 1, ('admiration', 'curiosity'): 1, ('curiosity', 'gratitude'): 1, ('neutral', 'sadness'): 1, ('sadness', 'neutral'): 1}","[(('neutral', 'neutral'), 7), (('neutral', 'gratitude'), 3), (('neutral', 'anger'), 3), (('approval', 'gratitude'), 3), (('gratitude', 'neutral'), 3)]","['neutral', 'gratitude', 'admiration', 'caring', 'approval', 'anger', 'sadness', 'annoyance']"
Se7en,1995,dfu15,"Crime, Drama, Mystery",David Fincher,327.3,127,8.6,"['curiosity', 'gratitude', 'annoyance', 'sadness', 'anger', 'neutral', 'confusion', 'anger', 'admiration', 'annoyance', 'neutral', 'anger', 'annoyance', 'amusement', 'neutral', 'anger', 'anger', 'sadness', 'anger', 'anger', 'neutral', 'amusement', 'anger', 'anger', 'amusement', 'neutral', 'annoyance', 'neutral', 'anger', 'anger', 'neutral', 'caring', 'annoyance', 'sadness', 'gratitude', 'anger', 'anger', 'anger', 'caring']","{('curiosity', 'gratitude'): 1, ('gratitude', 'annoyance'): 1, ('annoyance', 'sadness'): 2, ('sadness', 'anger'): 2, ('anger', 'neutral'): 3, ('neutral', 'confusion'): 1, ('confusion', 'anger'): 1, ('anger', 'admiration'): 1, ('admiration', 'annoyance'): 1, ('annoyance', 'neutral'): 2, ('neutral', 'anger'): 3, ('anger', 'annoyance'): 1, ('annoyance', 'amusement'): 1, ('amusement', 'neutral'): 2, ('anger', 'anger'): 6, ('anger', 'sadness'): 1, ('neutral', 'amusement'): 1, ('amusement', 'anger'): 1, ('anger', 'amusement'): 1, ('neutral', 'annoyance'): 1, ('neutral', 'caring'): 1, ('caring', 'annoyance'): 1, ('sadness', 'gratitude'): 1, ('gratitude', 'anger'): 1, ('anger', 'caring'): 1}","[(('anger', 'anger'), 6), (('anger', 'neutral'), 3), (('neutral', 'anger'), 3), (('annoyance', 'sadness'), 2), (('sadness', 'anger'), 2)]","['anger', 'neutral', 'annoyance', 'sadness', 'amusement', 'gratitude', 'caring', 'curiosity']"
Seven Samurai,1954,dfu16,"Action, Drama",Akira Kurosawa,3.1,207,8.6,"['fear', 'sadness', 'curiosity', 'gratitude', 'sadness', 'sadness', 'curiosity', 'disapproval', 'anger', 'caring', 'anger', 'fear', 'admiration', 'gratitude', 'annoyance', 'anger', 'amusement', 'fear', 'anger', 'fear', 'anger', 'anger', 'curiosity', 'anger', 'neutral', 'anger', 'neutral', 'neutral', 'remorse', 'neutral', 'anger', 'anger', 'anger', 'fear', 'admiration', 'anger', 'neutral', 'neutral', 'caring', 'neutral']","{('fear', 'sadness'): 1, ('sadness', 'curiosity'): 2, ('curiosity', 'gratitude'): 1, ('gratitude', 'sadness'): 1, ('sadness', 'sadness'): 1, ('curiosity', 'disapproval'): 1, ('disapproval', 'anger'): 1, ('anger', 'caring'): 1, ('caring', 'anger'): 1, ('anger', 'fear'): 3, ('fear', 'admiration'): 2, ('admiration', 'gratitude'): 1, ('gratitude', 'annoyance'): 1, ('annoyance', 'anger'): 1, ('anger', 'amusement'): 1, ('amusement', 'fear'): 1, ('fear', 'anger'): 2, ('anger', 'anger'): 3, ('anger', 'curiosity'): 1, ('curiosity', 'anger'): 1, ('anger', 'neutral'): 3, ('neutral', 'anger'): 2, ('neutral', 'neutral'): 2, ('neutral', 'remorse'): 1, ('remorse', 'neutral'): 1, ('admiration', 'anger'): 1, ('neutral', 'caring'): 1, ('caring', 'neutral'): 1}","[(('anger', 'fear'), 3), (('anger', 'anger'), 3), (('anger', 'neutral'), 3), (('sadness', 'curiosity'), 2), (('fear', 'admiration'), 2)]","['anger', 'neutral', 'fear', 'sadness', 'curiosity', 'gratitude', 'caring', 'admiration']"
Spirited Away,2001,dfu17,"Animation, Adventure, Family",Hayao Miyazaki,395.8,125,8.6,"['caring', 'joy', 'admiration', 'caring', 'caring', 'caring', 'gratitude', 'annoyance', 'annoyance', 'caring', 'caring', 'gratitude', 'caring', 'caring', 'admiration', 'anger', 'gratitude', 'caring', 'gratitude', 'caring', 'caring', 'sadness', 'caring', 'neutral', 'grief', 'gratitude', 'caring', 'gratitude', 'caring', 'neutral']","{('caring', 'joy'): 1, ('joy', 'admiration'): 1, ('admiration', 'caring'): 1, ('caring', 'caring'): 5, ('caring', 'gratitude'): 4, ('gratitude', 'annoyance'): 1, ('annoyance', 'annoyance'): 1, ('annoyance', 'caring'): 1, ('gratitude', 'caring'): 5, ('caring', 'admiration'): 1, ('admiration', 'anger'): 1, ('anger', 'gratitude'): 1, ('caring', 'sadness'): 1, ('sadness', 'caring'): 1, ('caring', 'neutral'): 2, ('neutral', 'grief'): 1, ('grief', 'gratitude'): 1}","[(('caring', 'caring'), 5), (('gratitude', 'caring'), 5), (('caring', 'gratitude'), 4), (('caring', 'neutral'), 2), (('caring', 'joy'), 1)]","['caring', 'gratitude', 'admiration', 'annoyance', 'neutral', 'joy', 'anger', 'sadness']"
Star Wars Episode IV A New Hope,1977,dfu18,"Action, Adventure, Fantasy",George Lucas,775.8,121,8.6,"['curiosity', 'neutral', 'neutral', 'gratitude', 'fear', 'caring', 'fear', 'caring', 'neutral', 'remorse', 'fear', 'fear', 'anger', 'neutral', 'curiosity', 'neutral', 'anger', 'caring', 'optimism', 'neutral', 'annoyance', 'fear', 'curiosity', 'caring', 'fear', 'fear', 'neutral', 'fear', 'curiosity', 'neutral', 'caring', 'neutral', 'caring', 'caring', 'joy']","{('curiosity', 'neutral'): 3, ('neutral', 'neutral'): 1, ('neutral', 'gratitude'): 1, ('gratitude', 'fear'): 1, ('fear', 'caring'): 2, ('caring', 'fear'): 2, ('caring', 'neutral'): 2, ('neutral', 'remorse'): 1, ('remorse', 'fear'): 1, ('fear', 'fear'): 2, ('fear', 'anger'): 1, ('anger', 'neutral'): 1, ('neutral', 'curiosity'): 1, ('neutral', 'anger'): 1, ('anger', 'caring'): 1, ('caring', 'optimism'): 1, ('optimism', 'neutral'): 1, ('neutral', 'annoyance'): 1, ('annoyance', 'fear'): 1, ('fear', 'curiosity'): 2, ('curiosity', 'caring'): 1, ('fear', 'neutral'): 1, ('neutral', 'fear'): 1, ('neutral', 'caring'): 2, ('caring', 'caring'): 1, ('caring', 'joy'): 1}","[(('curiosity', 'neutral'), 3), (('fear', 'caring'), 2), (('caring', 'fear'), 2), (('caring', 'neutral'), 2), (('fear', 'fear'), 2)]","['neutral', 'fear', 'caring', 'curiosity', 'anger', 'gratitude', 'remorse', 'optimism']"
Star Wars Episode V The Empire Strikes Back,1980,dfu19,"Action, Adventure, Fantasy",Irvin Kershner,538.0,124,8.7,"['caring', 'curiosity', 'annoyance', 'caring', 'gratitude', 'caring', 'caring', 'caring', 'caring', 'optimism', 'caring', 'caring', 'grief', 'anger', 'fear', 'gratitude', 'neutral', 'anger', 'neutral', 'gratitude', 'caring', 'neutral', 'gratitude', 'caring', 'remorse', 'caring', 'gratitude', 'remorse', 'annoyance', 'caring', 'caring', 'admiration', 'anger', 'neutral', 'caring']","{('caring', 'curiosity'): 1, ('curiosity', 'annoyance'): 1, ('annoyance', 'caring'): 2, ('caring', 'gratitude'): 2, ('gratitude', 'caring'): 3, ('caring', 'caring'): 5, ('caring', 'optimism'): 1, ('optimism', 'caring'): 1, ('caring', 'grief'): 1, ('grief', 'anger'): 1, ('anger', 'fear'): 1, ('fear', 'gratitude'): 1, ('gratitude', 'neutral'): 1, ('neutral', 'anger'): 1, ('anger', 'neutral'): 2, ('neutral', 'gratitude'): 2, ('caring', 'neutral'): 1, ('caring', 'remorse'): 1, ('remorse', 'caring'): 1, ('gratitude', 'remorse'): 1, ('remorse', 'annoyance'): 1, ('caring', 'admiration'): 1, ('admiration', 'anger'): 1, ('neutral', 'caring'): 1}","[(('caring', 'caring'), 5), (('gratitude', 'caring'), 3), (('annoyance', 'caring'), 2), (('caring', 'gratitude'), 2), (('anger', 'neutral'), 2)]","['caring', 'gratitude', 'neutral', 'anger', 'annoyance', 'remorse', 'curiosity', 'optimism']"
The Lord of Rings: The Return of the king,2003,dfu20,"Action, Adventure, Drama",Peter Jackson,1147.0,201,9.0,"['desire', 'caring', 'caring', 'anger', 'neutral', 'neutral', 'gratitude', 'love', 'anger', 'neutral', 'neutral', 'remorse', 'remorse', 'neutral', 'neutral', 'admiration', 'annoyance', 'neutral', 'neutral', 'approval', 'neutral', 'neutral', 'neutral', 'admiration', 'admiration', 'anger', 'neutral', 'neutral', 'remorse', 'optimism', 'love', 'optimism', 'remorse', 'neutral', 'neutral', 'neutral', 'caring', 'anger', 'neutral', 'neutral', 'neutral', 'anger', 'neutral', 'remorse', 'neutral', 'neutral', 'anger', 'neutral', 'neutral', 'neutral', 'love', 'gratitude', 'grief', 'caring', 'neutral']","{('desire', 'caring'): 1, ('caring', 'caring'): 1, ('caring', 'anger'): 2, ('anger', 'neutral'): 6, ('neutral', 'neutral'): 14, ('neutral', 'gratitude'): 1, ('gratitude', 'love'): 1, ('love', 'anger'): 1, ('neutral', 'remorse'): 3, ('remorse', 'remorse'): 1, ('remorse', 'neutral'): 3, ('neutral', 'admiration'): 2, ('admiration', 'annoyance'): 1, ('annoyance', 'neutral'): 1, ('neutral', 'approval'): 1, ('approval', 'neutral'): 1, ('admiration', 'admiration'): 1, ('admiration', 'anger'): 1, ('remorse', 'optimism'): 1, ('optimism', 'love'): 1, ('love', 'optimism'): 1, ('optimism', 'remorse'): 1, ('neutral', 'caring'): 1, ('neutral', 'anger'): 2, ('neutral', 'love'): 1, ('love', 'gratitude'): 1, ('gratitude', 'grief'): 1, ('grief', 'caring'): 1, ('caring', 'neutral'): 1}","[(('neutral', 'neutral'), 14), (('anger', 'neutral'), 6), (('neutral', 'remorse'), 3), (('remorse', 'neutral'), 3), (('caring', 'anger'), 2)]","['neutral', 'anger', 'remorse', 'caring', 'love', 'admiration', 'gratitude', 'optimism']"
The Lord of Rings: The Two Towers,2002,dfu21,"Action, Adventure, Drama",Peter Jackson,947.9,179,8.8,"['caring', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'gratitude', 'anger', 'anger', 'gratitude', 'neutral', 'neutral', 'neutral', 'remorse', 'anger', 'neutral', 'neutral', 'grief', 'neutral', 'anger', 'neutral', 'neutral', 'neutral', 'approval', 'neutral', 'neutral', 'anger', 'neutral', 'neutral', 'caring', 'neutral', 'neutral', 'neutral', 'gratitude', 'neutral', 'caring', 'gratitude', 'neutral', 'neutral', 'neutral', 'anger', 'anger', 'neutral', 'neutral', 'neutral', 'caring', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'gratitude', 'neutral', 'neutral', 'remorse', 'neutral', 'optimism']","{('caring', 'neutral'): 3, ('neutral', 'neutral'): 29, ('neutral', 'gratitude'): 3, ('gratitude', 'anger'): 1, ('anger', 'anger'): 2, ('anger', 'gratitude'): 1, ('gratitude', 'neutral'): 4, ('neutral', 'remorse'): 2, ('remorse', 'anger'): 1, ('anger', 'neutral'): 4, ('neutral', 'grief'): 1, ('grief', 'neutral'): 1, ('neutral', 'anger'): 3, ('neutral', 'approval'): 1, ('approval', 'neutral'): 1, ('neutral', 'caring'): 3, ('caring', 'gratitude'): 1, ('remorse', 'neutral'): 1, ('neutral', 'optimism'): 1}","[(('neutral', 'neutral'), 29), (('gratitude', 'neutral'), 4), (('anger', 'neutral'), 4), (('caring', 'neutral'), 3), (('neutral', 'gratitude'), 3)]","['neutral', 'anger', 'gratitude', 'caring', 'remorse', 'grief', 'approval', 'optimism']"
The Shawshank Redemption,1994,dfu22,Drama,Frank Darabont,73.3,142,9.3,"['anger', 'disgust', 'neutral', 'neutral', 'fear', 'neutral', 'neutral', 'sadness', 'neutral', 'remorse', 'anger', 'anger', 'neutral', 'neutral', 'sadness', 'fear', 'optimism', 'fear', 'neutral', 'neutral', 'neutral', 'grief', 'sadness', 'neutral', 'sadness', 'neutral', 'neutral', 'caring', 'anger', 'love', 'neutral']","{('anger', 'disgust'): 1, ('disgust', 'neutral'): 1, ('neutral', 'neutral'): 6, ('neutral', 'fear'): 1, ('fear', 'neutral'): 2, ('neutral', 'sadness'): 3, ('sadness', 'neutral'): 3, ('neutral', 'remorse'): 1, ('remorse', 'anger'): 1, ('anger', 'anger'): 1, ('anger', 'neutral'): 1, ('sadness', 'fear'): 1, ('fear', 'optimism'): 1, ('optimism', 'fear'): 1, ('neutral', 'grief'): 1, ('grief', 'sadness'): 1, ('neutral', 'caring'): 1, ('caring', 'anger'): 1, ('anger', 'love'): 1, ('love', 'neutral'): 1}","[(('neutral', 'neutral'), 6), (('neutral', 'sadness'), 3), (('sadness', 'neutral'), 3), (('fear', 'neutral'), 2), (('anger', 'disgust'), 1)]","['neutral', 'anger', 'sadness', 'fear', 'disgust', 'remorse', 'optimism', 'grief']"
The Dark Knight,2008,dfu23,"Action, Crime, Drama",Christopher Nolan,1006.0,152,9.0,"['neutral', 'neutral', 'sadness', 'remorse', 'neutral', 'neutral', 'curiosity', 'neutral', 'gratitude', 'neutral', 'annoyance', 'neutral', 'neutral', 'admiration', 'approval', 'neutral', 'gratitude', 'gratitude', 'neutral', 'amusement', 'neutral', 'neutral', 'neutral', 'anger', 'caring', 'neutral', 'anger', 'approval', 'neutral', 'anger', 'sadness', 'neutral', 'neutral', 'gratitude', 'caring', 'love', 'neutral', 'curiosity', 'neutral', 'sadness', 'fear', 'neutral', 'amusement', 'caring', 'neutral', 'neutral', 'gratitude', 'caring', 'amusement', 'neutral', 'caring', 'neutral', 'neutral']","{('neutral', 'neutral'): 8, ('neutral', 'sadness'): 2, ('sadness', 'remorse'): 1, ('remorse', 'neutral'): 1, ('neutral', 'curiosity'): 2, ('curiosity', 'neutral'): 2, ('neutral', 'gratitude'): 4, ('gratitude', 'neutral'): 2, ('neutral', 'annoyance'): 1, ('annoyance', 'neutral'): 1, ('neutral', 'admiration'): 1, ('admiration', 'approval'): 1, ('approval', 'neutral'): 2, ('gratitude', 'gratitude'): 1, ('neutral', 'amusement'): 2, ('amusement', 'neutral'): 2, ('neutral', 'anger'): 3, ('anger', 'caring'): 1, ('caring', 'neutral'): 3, ('anger', 'approval'): 1, ('anger', 'sadness'): 1, ('sadness', 'neutral'): 1, ('gratitude', 'caring'): 2, ('caring', 'love'): 1, ('love', 'neutral'): 1, ('sadness', 'fear'): 1, ('fear', 'neutral'): 1, ('amusement', 'caring'): 1, ('caring', 'amusement'): 1, ('neutral', 'caring'): 1}","[(('neutral', 'neutral'), 8), (('neutral', 'gratitude'), 4), (('neutral', 'anger'), 3), (('caring', 'neutral'), 3), (('neutral', 'sadness'), 2)]","['neutral', 'gratitude', 'caring', 'sadness', 'amusement', 'anger', 'curiosity', 'approval']"
The Godfather,1972,dfu24,"Crime, Drama",Francis Ford Coppola,205.0,175,9.2,"['grief', 'neutral', 'neutral', 'gratitude', 'gratitude', 'gratitude', 'caring', 'annoyance', 'anger', 'admiration', 'admiration', 'curiosity', 'caring', 'gratitude', 'fear', 'neutral', 'caring', 'caring', 'love', 'love', 'caring', 'admiration', 'curiosity', 'neutral', 'fear', 'neutral', 'neutral', 'love', 'anger', 'neutral', 'anger', 'anger', 'anger', 'neutral', 'gratitude', 'neutral', 'nervousness', 'neutral', 'caring', 'gratitude', 'neutral', 'neutral', 'anger', 'caring', 'caring', 'neutral', 'caring', 'anger', 'neutral']","{('grief', 'neutral'): 1, ('neutral', 'neutral'): 3, ('neutral', 'gratitude'): 2, ('gratitude', 'gratitude'): 2, ('gratitude', 'caring'): 1, ('caring', 'annoyance'): 1, ('annoyance', 'anger'): 1, ('anger', 'admiration'): 1, ('admiration', 'admiration'): 1, ('admiration', 'curiosity'): 2, ('curiosity', 'caring'): 1, ('caring', 'gratitude'): 2, ('gratitude', 'fear'): 1, ('fear', 'neutral'): 2, ('neutral', 'caring'): 3, ('caring', 'caring'): 2, ('caring', 'love'): 1, ('love', 'love'): 1, ('love', 'caring'): 1, ('caring', 'admiration'): 1, ('curiosity', 'neutral'): 1, ('neutral', 'fear'): 1, ('neutral', 'love'): 1, ('love', 'anger'): 1, ('anger', 'neutral'): 3, ('neutral', 'anger'): 2, ('anger', 'anger'): 2, ('gratitude', 'neutral'): 2, ('neutral', 'nervousness'): 1, ('nervousness', 'neutral'): 1, ('anger', 'caring'): 1, ('caring', 'neutral'): 1, ('caring', 'anger'): 1}","[(('neutral', 'neutral'), 3), (('neutral', 'caring'), 3), (('anger', 'neutral'), 3), (('neutral', 'gratitude'), 2), (('gratitude', 'gratitude'), 2)]","['neutral', 'caring', 'anger', 'gratitude', 'admiration', 'love', 'curiosity', 'fear']"
The Godfather Part II,1974,dfu25,"Crime, Drama",Francis Ford Coppola,93.0,202,9.0,"['anger', 'caring', 'gratitude', 'neutral', 'anger', 'excitement', 'admiration', 'neutral', 'anger', 'anger', 'remorse', 'caring', 'sadness', 'admiration', 'neutral', 'gratitude', 'gratitude', 'joy', 'neutral', 'caring', 'gratitude', 'gratitude', 'gratitude', 'joy', 'admiration', 'neutral', 'fear', 'admiration', 'joy', 'curiosity', 'gratitude', 'anger', 'neutral', 'curiosity', 'neutral', 'neutral', 'anger', 'pride', 'neutral', 'neutral', 'neutral', 'admiration', 'neutral', 'gratitude', 'neutral', 'caring', 'caring', 'sadness', 'neutral', 'neutral', 'surprise', 'neutral', 'admiration', 'gratitude', 'neutral', 'neutral', 'neutral']","{('anger', 'caring'): 1, ('caring', 'gratitude'): 2, ('gratitude', 'neutral'): 3, ('neutral', 'anger'): 3, ('anger', 'excitement'): 1, ('excitement', 'admiration'): 1, ('admiration', 'neutral'): 4, ('anger', 'anger'): 1, ('anger', 'remorse'): 1, ('remorse', 'caring'): 1, ('caring', 'sadness'): 2, ('sadness', 'admiration'): 1, ('neutral', 'gratitude'): 2, ('gratitude', 'gratitude'): 3, ('gratitude', 'joy'): 2, ('joy', 'neutral'): 1, ('neutral', 'caring'): 2, ('joy', 'admiration'): 1, ('neutral', 'fear'): 1, ('fear', 'admiration'): 1, ('admiration', 'joy'): 1, ('joy', 'curiosity'): 1, ('curiosity', 'gratitude'): 1, ('gratitude', 'anger'): 1, ('anger', 'neutral'): 1, ('neutral', 'curiosity'): 1, ('curiosity', 'neutral'): 1, ('neutral', 'neutral'): 6, ('anger', 'pride'): 1, ('pride', 'neutral'): 1, ('neutral', 'admiration'): 2, ('caring', 'caring'): 1, ('sadness', 'neutral'): 1, ('neutral', 'surprise'): 1, ('surprise', 'neutral'): 1, ('admiration', 'gratitude'): 1}","[(('neutral', 'neutral'), 6), (('admiration', 'neutral'), 4), (('gratitude', 'neutral'), 3), (('neutral', 'anger'), 3), (('gratitude', 'gratitude'), 3)]","['neutral', 'gratitude', 'anger', 'admiration', 'caring', 'joy', 'sadness', 'curiosity']"
